AMIE,Nombre_Institucion,Provincia,Canton,Parroquia,Sostenimiento,Area,Total_Anios_Registrados,Primer_Anio,Ultimo_Anio
09H06116,UNIDAD EDUCATIVA DEL GUAYAS EXTENSION EL PROGRESO,GUAYAS,BALZAR,BALZAR,Fiscomisional,Urbana,11,2011-2012,2021-2022
09H06114,UNIDAD EDUCATIVA DEL GUAYAS EXTENSION GABRIEL GARCIA MORENO,GUAYAS,COLIMES,COLIMES,Fiscomisional,Urbana,9,2011-2012,2019-2020
09H06110,UNIDAD EDUCATIVA DEL GUAYAS EXTENSION MARIA MAZZARELLO,GUAYAS,PLAYAS,GENERAL VILLAMIL (PLAYAS),Fiscomisional,Urbana,9,2011-2012,2019-2020
09H06108,UNIDAD EDUCATIVA DEL GUAYAS EXTENSION SAN MARTIN DE PORRES,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Fiscomisional,Urbana,11,2011-2012,2021-2022
09H06122,UNIDAD EDUCATIVA DEL GUAYAS EXTENSION SAN PEDRO DE DAULAR,GUAYAS,GUAYAQUIL,CHONGON,Fiscomisional,Urbana,15,2011-2012,2025-2026
09H06091,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA DR. EUGENIO ESPEJO EXTENSION 17 R,GUAYAS,PLAYAS,GENERAL VILLAMIL (PLAYAS),Particular,Urbana,9,2011-2012,2019-2020
09H06105,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA DR. EUGENIO ESPEJO EXTENSION 23 U,GUAYAS,GUAYAQUIL,ROCAFUERTE,Particular,Urbana,7,2011-2012,2017-2018
09H06093,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA EXTENSION 11 R,GUAYAS,DAULE,DAULE,Particular,Urbana,9,2011-2012,2019-2020
09H06135,VICENTE CHICA CAMPUZANO,GUAYAS,NARANJAL,SAN CARLOS,Fiscal,Rural,15,2011-2012,2025-2026
09H06016,VICENTE ROCAFUERTE BEJARANO,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
11H01923,CENTRO PSICOPEDAGOGICO CATAMAYO,LOJA,CATAMAYO,CATAMAYO,Particular,Urbana,7,2011-2012,2017-2018
11H01963,COLEGIO DR. ANTONIO PEÃA CELI,LOJA,LOJA,VALLE,Particular,Urbana,15,2011-2012,2025-2026
11H01909,COLEGIO PARTICULAR A DISTANCIA DR. JOSE MARIA VIVAR CASTRO,LOJA,LOJA,EL SAGRARIO,Particular,Urbana,15,2011-2012,2025-2026
11H00794,ESCUELA CARLOS FINLAY,LOJA,CELICA,SABANILLA,Fiscal,Rural,11,2011-2012,2021-2022
11H01964,JARDIN ANTONIO PEÃA CELI,LOJA,LOJA,VILCABAMBA (VICTORIA),Fiscal,Rural,15,2011-2012,2025-2026
11H00653,JOSE MARIA VELAZ SJ EXTENSION N2 CATAMAYO,LOJA,CATAMAYO,CATAMAYO,Particular,Urbana,10,2011-2012,2020-2021
11H01022,PIÃONALES,LOJA,GONZANAMA,SACAPALCA,Fiscal,Rural,15,2011-2012,2025-2026
12H02245,AB. CARLOS ORTEGA BARZOLA,LOS RIOS,PUEBLOVIEJO,PUEBLOVIEJO,Municipal,Urbana,15,2011-2012,2025-2026
12H01594,CENTRO DE FORMACION ARTESANAL ROSITA PAREDES JUMBO,LOS RIOS,BUENA FE,SAN JACINTO DE BUENA FE,Fiscal,Urbana,7,2011-2012,2017-2018
12H02512,CENTRO EDUCATIVO PARTICULAR  TRAMPOLIN,LOS RIOS,QUEVEDO,SAN CAMILO,Particular,Urbana,15,2011-2012,2025-2026
12H02509,EVITA ESTRADA,LOS RIOS,MONTALVO,MONTALVO,Particular,Urbana,15,2011-2012,2025-2026
12H02513,GENESIS,LOS RIOS,PUEBLOVIEJO,PUERTO PECHICHE,Fiscal,Rural,15,2011-2012,2025-2026
12H02502,GLORIA NAVARRETE DE CASTRO,LOS RIOS,BABAHOYO,FEBRES CORDERO (LAS JUNTAS),Fiscal,Rural,15,2011-2012,2025-2026
12H02246,LICENCIADO LENIN MORENO GARCES,LOS RIOS,PUEBLOVIEJO,SAN JUAN,Fiscal,Rural,15,2011-2012,2025-2026
13H05133,ALBERT EINSTEIN,MANABI,MANTA,MANTA,Particular,Urbana,10,2011-2012,2020-2021
13H05136,BUENOS AIRES,MANABI,PICHINCHA,PICHINCHA,Fiscal,Urbana,15,2011-2012,2025-2026
13H04905,CENTEBAD,MANABI,EL CARMEN,EL CARMEN,Particular,Urbana,15,2011-2012,2025-2026
13H01931,CENTRO DE REHABILITACION SOCIAL JIPIJAPA,MANABI,JIPIJAPA,SAN LORENZO DE JIPIJAPA,Fiscomisional,Urbana,9,2011-2012,2021-2022
13H04474,CRISTOBAL COLON,MANABI,PEDERNALES,COJIMIES,Fiscal,Rural,15,2011-2012,2025-2026
13H05065,DR. BENJAMIN CARRION,MANABI,PAJAN,CAMPOZANO (LA PALMA DE PAJAN),Fiscal,Rural,15,2011-2012,2025-2026
13H04903,DR. JOSE JOAQUIN DE OLMEDO,MANABI,MANTA,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
13H04885,FEDERICO VITERVO GARCIA,MANABI,EL CARMEN,EL CARMEN,Fiscal,Urbana,15,2011-2012,2025-2026
13H05122,GREGORIO TRANQUILINO ANDRADE LOOR,MANABI,FLAVIO ALFARO,FLAVIO ALFARO,Fiscal,Urbana,15,2011-2012,2025-2026
13H04891,HUANCAVILCA,MANABI,MANTA,ELOY ALFARO,Particular,Urbana,15,2011-2012,2025-2026
13H04898,JARDIN DE INFANTES CRECER,MANABI,PORTOVIEJO,SAN PABLO,Particular,Urbana,15,2011-2012,2025-2026
13H05148,JEFFERSON ROLANDO,MANABI,PICHINCHA,PICHINCHA,Fiscal,Urbana,15,2011-2012,2025-2026
13H04893,LEADER KIDS,MANABI,CHONE,CHONE,Particular,Urbana,15,2011-2012,2025-2026
13H01793,NUEVA ESTRELLA,MANABI,FLAVIO ALFARO,SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO),Fiscal,Rural,15,2011-2012,2025-2026
13H05140,PABLO SERAFIN CEDEÃO,MANABI,PICHINCHA,PICHINCHA,Fiscal,Urbana,15,2011-2012,2025-2026
